driverId,code,name,nationality
1,HAM,Lewis Hamilton,British
3,ROS,Nico Rosberg,German
4,ALO,Fernando Alonso,Spanish
5,KOV,Heikki Kovalainen,Finnish
8,RAI,Kimi Räikkönen,Finnish
10,GLO,Timo Glock,German
13,MAS,Felipe Massa,Brazilian
17,WEB,Mark Webber,Australian
18,BUT,Jenson Button,British
20,VET,Sebastian Vettel,German
30,MSC,Michael Schumacher,German
37,DLR,Pedro de la Rosa,Spanish
39,KAR,Narain Karthikeyan,Indian
154,GRO,Romain Grosjean,French
155,KOB,Kamui Kobayashi,Japanese
807,HUL,Nico Hülkenberg,German
808,PET,Vitaly Petrov,Russian
811,SEN,Bruno Senna,Brazilian
813,MAL,Pastor Maldonado,Venezuelan
814,DIR,Paul di Resta,British
815,PER,Sergio Pérez,Mexican
816,DAM,Jérôme d'Ambrosio,Belgian
817,RIC,Daniel Ricciardo,Australian
818,VER,Jean-Éric Vergne,French
819,PIC,Charles Pic,French
